sector_name,sector_link,title,link
,,"Agriculture Production & Farmers Welfare Department, Jammu and Kashmir",https://jkapd.nic.in
,,"Agriculture Secretariat, Karnataka",https://agriculture.karnataka.gov.in
,,"Agriculture and Horticulture Department, Assam",https://agri-horti.assam.gov.in
,,Assam Rajiv Gandhi University of Cooperative Management,https://argucom.assam.gov.in
,,"Assam Rural Infrastructure and Agricultural Services Society, (ARIAS)",https://arias.in
,,Assam Small Farmers Agri-Business Consortium (ASFAC),https://asfac.assam.gov.in
,,Bihar State Election Authority (BSEA),https://bsea.bihar.gov.in
,,"Biju Swasthya Kalyan Yojana, Odisha",https://bsky.odisha.gov.in
,,"COMPOSE - Comprehensive Operations and Management of Presses Over Secure Environment, Kerala",https://compose.kerala.gov.in
,,"Central Agricultural University, Imphal",https://cau.ac.in
,,"Central Farm Machinery Training and Testing Institute (FMTTI), Budni",https://fmttibudni.gov.in
,,"Co-operation Department, Andhra Pradesh",https://apcooperation.nic.in
,,"Co-operation Department, Haryana",https://rcsharyana.gov.in
,,Coconut Development Board,https://coconutboard.gov.in
,,"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology Udaipur, Rajasthan",https://www.ctae.ac.in
,,"Command Area Development, Jammu, Jammu and Kashmir",https://cadjmu.nic.in
,,Commission for Agricultural Costs and Prices (CACP),https://cacp.da.gov.in
,,"Commissioner of Fisheries, Gujarat",https://www.cof.gujarat.gov.in
,,"Crop Loan Waiver System, Karnataka",https://clws.karnataka.gov.in
,,"Crop Pests & Diseases Surveillance and Advisory Portal (CROPSAP), Meghalaya",https://cropsap.megfarmer.gov.in
,,D-Krishi - Aadhaar Enabled Seed Distribution System of Andhra Pradesh,https://eseed.ap.gov.in
,,"Department of Agriculture and Farmers Welfare Kashmir, Jammu and Kashmir",https://diragrikmr.nic.in
,,Digital Platform for Farm Mechanization and Technology,https://agrimachinery.nic.in
,,"Direct Benefit Transfer (DBT), Agriculture Department, Bihar",https://dbtagriculture.bihar.gov.in
,,Direct Benefit Transfer Portal for Agriculture Schemes,https://dbtdacfw.gov.in
,,"Directorate of Agricultural Marketing and Agriculture Foreign Trade, Uttar Pradesh",https://www.upkrishivipran.in
,,"Directorate of Agricultural Marketing, Delhi",https://damb.delhi.gov.in
,,"Directorate of Agriculture (Research and Education), Mizoram",https://agriculture.mizoram.gov.in
,,"Directorate of Agriculture Production & Farmers Welfare, Jammu, Jammu and Kashmir",https://diragrijmu.nic.in
,,"Directorate of Agriculture, Gujarat",https://dag.gujarat.gov.in/index.htm
,,"Directorate of Agriculture, Gujarat",https://dag.gujarat.gov.in
,,"Directorate of Animal Husbandry, Gujarat",https://doah.gujarat.gov.in
,,Directorate of Arecanut and Spices Development (DSAD),https://www.dasd.gov.in
,,Directorate of Cashewnut and Cocoa Development (DCCD),https://www.dccd.gov.in
,,Directorate of Economics and Statistics (DES),https://desagri.gov.in
,,Directorate of Horticulture (Bhubaneswar),https://ddkbbsr.gov.in
,,"Directorate of Horticulture & Soil Conservation, Tripura",https://horti.tripura.gov.in
,,"Directorate of Horticulture, Chhattisgarh",https://cghorticulture.gov.in
,,Directorate of Jute Development,https://jute.dac.gov.in
,,Directorate of Marketing and Inspection (DMI),https://dmi.gov.in
,,"Directorate of Mushroom Research, Solan, Himachal Pradesh",https://dmrsolan.icar.gov.in
,,"Directorate of Onion and Garlic Research, Pune, Maharashtra",https://dogr.icar.gov.in
,,Directorate of Plant Protection Quarantine and Storage,https://ppqs.gov.in
,,Directorate of Pulses Development,https://dpd.gov.in
,,"Directorate of Rice Development, Patna",https://drdpat.bih.nic.in
,,"Directorate of Silk, Maharashtra",https://mahasilk.maharashtra.gov.in
,,"Directorate of Soil Conservation and Watershed Development, Odisha",https://www.soilodisha.nic.in
,,"Farm Information Bureau, Kerala",https://www.fibkerala.gov.in
,,"Farmer Procurement Portal, Gujarat",https://fpp.gujarat.gov.in
,,"Farmer Registration and Unified beneficiary Information System, Karnataka",https://fruits.karnataka.gov.in
,,"Free Seedling Distribution, Delhi",https://dillifreetree.eforest.delhi.gov.in
,,"Govind Ballabh Pant University of Agriculture & Technology, Uttarakhand",https://gbpuat.ac.in
,,"Gujarat Sheep & Wool Development Corporation Limited, Gujarat",https://gusheel.gujarat.gov.in
,,"Gujarat State Co-Operative Tribunal, Gujarat",https://gscot.gujarat.gov.in
,,"Gujarat State Warehousing Corporation, Gujarat",https://gswc.gujarat.gov.in/index.htm
,,"Haryana Seed Portal, Haryana",https://uttambeej.haryana.gov.in
,,"Haryana State Seed Certification Agency (HSSCA), Haryana",https://hssca.org.in
,,"Himachal Pradesh Horticulture Produce Marketing and Processing Corporation Ltd. (HPMC), Himachal Pradesh",https://hpmc.in
,,"Himachal Pradesh State Co-operative Marketing & Consumers Federation Ltd., Himachal Pradesh",https://www.himfed.com
,,"Holistic Agriculture Development Program, Jammu and Kashmir",https://hadp.jk.gov.in
,,"Horticulture Department, Haryana",https://hortharyana.gov.in
,,"Horticulture Department, Himachal Pradesh",https://eudyan.hp.gov.in
,,"Horticulture Department, Jammu and Kashmir",https://horticulture.jk.gov.in
,,"Horticulture Department, Telangana",https://horticulture.tg.nic.in
,,"Horticulture Directorate, Agriculture Department, Bihar",https://horticulture.bihar.gov.in
,,"Hydrology Project,  Chhattisgarh",https://hydrologyproject.cg.gov.in
,,"ICAR - Central Island Agricultural Research Institute (CIARI), Port Blair",https://ciari.icar.gov.in
,,"ICAR - Indian Institute of Farming Systems Research (IIFSR), Meerut",https://iifsr.icar.gov.in
,,"ICAR - Indian Institute of Seed Science, Mau, Uttar Pradesh",https://seedres.icar.gov.in
,,"ICAR - National Bureau of Agricultural Insect Resources (NBAIR), Bangalore",https://www.nbair.res.in
,,"ICAR - National Institute Of Veterinary Epidemiology And Disease Informatics, Bangalore,",https://www.nivedi.res.in
,,ICAR - National Institute of Agricultural Economics and Policy Research (NIAP),https://niap.icar.gov.in
,,"ICAR Agricultural Technology Application Research Institute (ICAR-ATARI), Bangalore",https://ataribengaluru.icar.gov.in
,,"ICAR Research Complex for Eastern Region (ICAR-RCER), Patna",https://icarrcer.icar.gov.in
,,"ICAR-ATARI Zone IX, Jabalpur, Madhya Pradesh",https://atarijabalpur.icar.gov.in
,,"ICAR-Agricultural Technology Application Research Institute (ATARI), Hyderabad",https://atari-hyderabad.icar.gov.in
,,"ICAR-Central Tobacco Research Institute, Rajahmundry",https://ctri.icar.gov.in
,,ICAR-Indian Agricultural Statistics Research Institute,https://www.iasri.res.in
,,"ICAR-Indian Institute of Water Management, Bhubaneswar, Odisha",https://iiwm.icar.gov.in
,,"ICAR-National Institute of Aboitic Stress Management, Malegaon",https://niasm.icar.gov.in
,,"ICAR-National Research Centre for Banana, Tiruchirapalli",https://nrcb.icar.gov.in
,,"ICAR-National Research Centre on Mithun, Dimapur",https://nrcmithun.icar.gov.in
,,"ICAR-National Research Centre on Plant Biotechnology - Indian Agricultural Research Institute,, New Delhi",https://iims.icar.gov.in/Institute_Details.aspx?Inst=YLDo9jwOF0s=
,,"ICAR-National Research Centre on Pomegranate, Solapur",https://nrcpomegranate.org
,,Indian Agricultural Research Institute (IARI),https://www.iari.res.in
,,"Indian Council of Agricultural Research, Nagaland",https://icarnagaland.nic.in
,,"Indian Council of Agricultural Research, Tripura",https://tripuraicar.nic.in
,,Indian Council of Agricultural Research (ICAR),https://www.icar.org.in
,,Indian Council of Agricultural Research - Online Library Catalog,https://lib.icar.gov.in
,,Indian Institute of Horticultural Research (IIHR),https://www.iihr.res.in
,,Indian Institute of Millets Research (IIMR),https://millets.res.in
,,Indian Institute of Oilseeds Research (IIOR),https://icar-iior.org.in
,,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",https://igkv.ac.in
,,"Institute of Co-Operative Management (ICM), Imphal",https://icmimphal.org
,,"Institute of Co-operative Management, Pune",https://www.icmpune.org
,,"Institute of Co-operative Management, Dehradun",https://icmdehradun.com
,,"Institute of Co-operative Management (ICM), Guwahati",https://icmguwahati.gov.in
,,"Institute of Co-operative and Corporate Management, Research & Training, Lucknow, Uttar Pradesh",https://www.iccmrt.ac.in
,,Integrated Fertilizer Management System,https://dbtfert.nic.in
,,"Integrated Land Records Management System, Telangana",https://dharani.telangana.gov.in
,,"Irrigation and Flood Control Department, Delhi",https://ifc.delhi.gov.in
,,"KIRAN - Knowledge Innovation Repository of Agriculture in the North East, ICAR",https://kiran.nic.in
,,KRISHI VISTAR-Directorate of Extension,https://krishivistar.gov.in
,,"KSCSTE - Jawaharlal Nehru Tropical Botanical Garden and Research Institute, Kerala",https://jntbgri.res.in
,,"KVK Lawngtlai, Mizoram",https://kvklawngtlai.mizoram.gov.in
,,"KVK Serchhip, Mizoram",https://kvkserchhip.mizoram.gov.in
,,"Kerala State Co-operative Textile Federation Ltd. (TEXFED), Kerala",https://texfed.kerala.gov.in
,,Kisan Sarathi,https://kisansarathi.in
,,Krishi Nivesh Portal,https://krishinivesh.gov.in
,,"Krishi Vigyan Kendra (KVK), West Garo Hills",https://kvkwestgarohills.nic.in
,,"Krishi Vigyan Kendra, Ri-Bhoi",https://kvkribhoi.nic.in
,,"Krishi Vigyan Kendra, East Kameng",https://kvkeastkameng.nic.in
,,"Krishi Vigyan Kendra (KVK), Wokha",https://kvkwokha.nic.in
,,"Krishi Vigyan Kendra (KVK), Baramati, Maharashtra",https://www.kvkbaramati.com
,,"Krishi Vigyan Kendra (KVK), Lower Dibang Valley District, Arunachal Pradesh",https://kvkbalek.nic.in
,,"Krishi Vigyan Kendra (KVK), Lower Subansiri, Arunachal Pradesh",https://kvklowersubansiri.nic.in
,,"Krishi Vigyan Kendra (KVK), Reasi, Jammu and Kashmir",https://kvkreasi.nic.in
,,"Krishi Vigyan Kendra (KVK), Sikkim",https://sikkim.gov.in/departments/food-security-and-agriculture-development-department/krishi-vigyan-kendra-in-sikkim
,,Krishi Vigyan Kendra Knowledge Network,https://kvk.icar.gov.in
,,"Krishi Vigyan Kendra, Anjaw, Arunachal Pradesh",https://kvkanjaw.nic.in
,,"Krishi Vigyan Kendra, Tawang",https://kvktawang.nic.in
,,"M.P. Biotechnology Council Bhopal, Madhya Pradesh",https://www.mpbiotech.nic.in
,,"Madhusudan Institute of Co-operative Management (MICM), Bhubaneswar",https://icmbhubaneswar.nic.in
,,"Madhya Pradesh State Agricultural Marketing (Mandi) Board, Madhya Pradesh",https://mpmandiboard.in
,,"Mahalanobis National Crop Forecast Centre (NCFC), New Delhi",https://ncfc.gov.in
,,"Meghalaya State Agricultural Marketing Board, Meghalaya",https://megamb.gov.in
,,"Meri Fasal, Mera Byora, Haryana",https://fasal.haryana.gov.in
,,"Mission Kakatiya, Telangana",https://missionkakatiya.cgg.gov.in
,,Mission for Integrated Development of Horticulture (MIDH),https://midh.gov.in
,,NOC Approval for New Drug and Inoculation System Portal,https://nandi.gov.in/dahd
,,"Nagaland State Extension Reforms (Niche ATMA), Nagaland",https://nser.nic.in
,,National Agricultural Higher Education Project,https://nahep.icar.gov.in
,,National Agricultural Innovation Project,https://naip.icar.gov.in
,,National Agriculture Infra Financing Facility,https://agriinfra.dac.gov.in
,,National Agriculture Market Portal (NAM),https://www.enam.gov.in
,,National Bamboo Mission,https://nbm.da.gov.in
,,National Bee Board (NBB),https://nbb.gov.in
,,"National Bureau of Agriculturally Important Microorganisms (NBAIM), Bhanjan, Uttar Pradesh",https://nbaim.icar.gov.in
,,"National Bureau of Animal Genetic Resources (NBAGR), Karnal",https://nbagr.icar.gov.in
,,"National Bureau of Fish Genetic Resources (NBFGR), Lucknow",https://www.nbfgr.res.in
,,National Centre for Cold-Chain Development (NCCD),https://nccd.gov.in
,,National Centre for Integrated Pest Management (NCIPM),https://ncipm.icar.gov.in
,,National Centre of Organic and Natural Farming,https://nconf.dac.gov.in
,,National Co-operative Development Corporation (NCDC),https://www.ncdc.in
,,National Council for Co-operative Training (NCCT),https://www.ncct.ac.in
,,"National Dairy Research Institute, Karnal",https://ndri.res.in
,,National Food Security Mission,https://nfsm.gov.in
,,National Horticulture Board (NHB),https://nhb.gov.in
,,"National Horticulture Mission, Maharashtra",https://hortnet.gov.in
,,National Institute of Agricultural Marketing (NIAM),https://ccsniam.gov.in
,,National Institute of Plant Health Management (NIPHM),https://niphm.gov.in
,,National Institute of Public Cooperation and Child Development (NIPCCD),https://nipccd.nic.in
,,National Mission on Oilseeds and Oil Palm (NMOOP),https://nmeo.dac.gov.in
,,National Portal on Mechanization and Technology,https://farmech.dac.gov.in
,,National Seeds Corporation Limited (NSC),https://indiaseeds.com
,,"Netaji Subhas Regional Institute of Cooperative Management (NSRICM), Kalyani",https://www.nsricm.com
,,"North Eastern Farm Machinery Training and Testing Institute, Chariali",https://nerfmtti.nic.in
,,"North Eastern Regional Agricultural Marketing Corporation Ltd (NERAMAC), Guwahati",https://neramac.com
,,"Odisha Agro Industries Corporation Limited, Odisha",https://odishaagro.nic.in
,,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),https://pmkisan.gov.in
,,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),https://pmksy.gov.in
,,"Project Management Information System, Bihar",https://rcdonline.bih.nic.in
,,"Protection of Plant Varieties and Farmers Rights Authority, New Delhi",https://www.plantauthority.gov.in
,,"Pune Branch of WIRC, The Institute of Chartered Accountants of India (ICAI)",https://www.puneicai.org
,,Participatory Guarantee System &#40;PGS&#41; for India,https://pgsindia-ncof.gov.in
,,Pradhan Mantri Fasal Bima Yojana: Crop Insurance Portal,https://pmfby.gov.in
,,Pradhan Mantri Kisaan Maan-dhan Yojana (PM-KMY),https://pmkmy.gov.in
,,"Punjab Remote Sensing Centre (PRSC), Ludhiana, Punjab",https://prsc.gov.in
,,"Punjab State Seed Certification Authority, Punjab",https://pssca.punjab.gov.in
,,"RYTHU BANDHU (Agriculture Investment Support Scheme), RYTHU BIMA (Farmer's Insurance), Telangana",https://rythubandhu.telangana.gov.in
,,"Rainfall Recording and Analysis, Department of Agriculture, Maharashtra",https://maharain.maharashtra.gov.in
,,Rani Lakshmi Bai Central Agricultural University,https://www.rlbcau.ac.in
,,Rashtriya Krishi Vikas Yojana (RKVY),https://rkvy.da.gov.in
,,"Registrar of Co-operative Societies, Gujarat",https://rcs.gujarat.gov.in
,,"Registrar of Cooperative Societies, Arunachal Pradesh",https://cooparun.nic.in
,,"Registrar of Cooperative Societies, Assam",https://rcs.assam.gov.in
,,"Seed Authentication, Traceability and Holistic Inventory (SATHI)",https://seedtrace.gov.in/ms014
,,"SeedNet India Portal-National Initiative for Information on Quality Seeds, New Delhi",https://seednet.gov.in
,,"Sericulture Department, Manipur",https://serimanipur.nic.in
,,"Sericulture Department, Tamil Nadu",https://tnsericulture.tn.gov.in
,,Soil Health Card,https://soilhealth.dac.gov.in
,,Soil and Land Use Survey of India,https://slusi.da.gov.in
,,Southern Region Farm Machinery Training and Testing Institute,https://srfmtti.dacnet.nic.in
,,State Public Procurement Portal of Assam,https://sppp.assam.gov.in/#/en
,,"State Wetland Authority, Haryana",https://swa.haryana.gov.in
,,Technology Mission for Developement of Horticulture in North Eastern and Himalayan States,https://tmnehs.gov.in
,,"Telangana Kisan Portal, Telangana",https://kisan.telangana.gov.in
,,"The Haryana State CO-OP Apex Bank Ltd., Haryana",https://www.harcobank.org.in
,,"The Registrar of Cooperative Societies, Odisha",https://rcsodisha.nic.in
,,"The Tamil Nadu Agricultural University (TNAU), Tamil Nadu",https://agritech.tnau.ac.in
,,"Tripura Farmers Portal & Kisan Call Center (KCC), Tripura",https://farmersportal.tripura.gov.in
,,Unified Portal for Agriculture Statistics,https://upag.gov.in
,,Unified Tool for Concurrent Feedback on Krishi Schemes,https://utckarsh.gov.in
,,"Uttar Pradesh State Cooperative Society Election Commission, Uttar Pradesh",https://upscec.gov.in
,,"Vasantrao Naik Marathwada Krishi Vidyapeeth, Parbhani , Maharashtra",https://www.vnmkv.ac.in
,,"Vegetable and Fruit Promotion Council Keralam, Kerala",https://www.vfpck.org
,,"e-Demonstration Portal, Odisha",https://odishaagridemo.nic.in
,,"e-Mausam Krishi Sewa, CCS Haryana Agricultural University, Hisar, Haryana",https://emausamhau.gov.in
,,mKisan,https://www.mkisan.gov.in
Animal_Husbandry_Fishing,https://igod.gov.in/sector/_RNsIHQBsvhI6u6Q3tfu/organizations,,
,,"Agriculture, Animal Husbandry and Cooperative Department, Jharkhand",https://agri.jharkhand.gov.in
,,"Animal Husbandary Department, Chhattisgarh",https://agriportal.cg.nic.in/ahd
,,"Animal Husbandry & Veterinary Services Department, Goa",https://www.ahvs.goa.gov.in
,,Animal Husbandry Infrastructure Development Fund (AHIDF),https://ahidf.udyamimitra.in
,,Animal Quarantine and Certification Service Station (AQCS),https://aqcsindia.gov.in
,,"Animal,Sheep Husbandry and Fisheries Department, Jammu and Kashmir",https://jkash.nic.in
,,"Animal/Sheep Husbandry Department, Ladakh",https://ladakh.nic.in/animal-sheep-husbandry
,,Bihar Animal Sciences University (BASU),https://www.basu.org.in
,,"Central Institute of Coastal Engineering for Fishery, Bangalore",https://cicef.gov.in
,,Central Institute of Fisheries Nautical and Engineering Training,https://cifnet.gov.in
,,"Central Sheep Breeding Farm, Hisar",https://csbfhsr.com
,,Coastal Aquaculture Authority,https://caa.gov.in
,,Committee Control and Supervision of Experiments on Animals,https://ccsea.gov.in
,,Department of Fisheries,https://dof.gov.in
,,"Directorate of Coldwater fisheries Research, Uttarakhand",https://www.dcfr.res.in
,,"Directorate of Sheep Husbandry Jammu, Jammu and Kashmir",https://sheepjammu.nic.in
,,"Directorate of Sheep Husbandry Kashmir, Jammu and Kashmir",https://jksheephusbandrykashmir.nic.in
,,"Fisheries Department, Andhra Pradesh",https://fisheries.ap.gov.in
,,"Fisheries Department, Maharashtra",https://fisheries.maharashtra.gov.in
,,"Fisheries Department, West Bengal",https://www.wbfisheries.in
,,"Fishery Survey of India (FSI), Mumbai",https://fsi.gov.in
,,"Gopalan-Dairy (RCDF), Rajasthan",https://sarasmilkfed.rajasthan.gov.in
,,"Gujarat Co - operative Milk Marketing Federation Limited (AMUL), Gujarat",https://amul.com
,,"Gujarat Veterinary Council, Gandhinagar, Gujarat",https://gvc.org.in
,,"Guru Angad Dev Veterinary and Animal Sciences University (GADVASU), Ludhiana Punjab",https://www.gadvasu.in
,,"HP Aquaculture, Fishing and Marketing Society, Himachal Pradesh, India",https://himachal.nic.in/index.php?lang=1&dpt_id=228
,,"Haryana Gau Seva Aayog, Haryana",https://hargauseva.gov.in
,,"Haryana State Biodiversity Board, Haryana",https://sbb.haryanaforest.gov.in
,,"ICAR-Central Institute of Fisheries Technology (CIFT), Cochin",https://www.cift.res.in
,,ICAR-National Institute of High Security Animal Diseases,https://www.nihsad.nic.in
,,"ICAR-National Research Center on Meat, Hyderabad",https://nrcmeat.icar.gov.in
,,"Krishi Vigyan Kendra (ICAR), Papum-Pare, Arunachal Pradesh",https://kvkpapumpare.nic.in
,,"Madhya Pradesh Road Development Corporation Ltd. (MPRDC), Madhya Pradesh",https://mprdc.gov.in
,,"Madhya Pradesh State Cooperative Dairy Federation Limited (MPCDF), Bhopal, Madhya Pradesh",https://sanchidairy.com
,,"Maharashtra Animal and Fishery Sciences University, Maharashtra",https://www.mafsu.in
,,"Ministry of Fisheries, Animal Husbandry and Dairying",https://dahd.nic.in
,,"National Dairy Development Board (NDDB), Anand",https://www.nddb.coop
,,"National Fisheries Development Board (NFDB), Hyderabad",https://nfdb.gov.in
,,"National Institute of Fisheries Post Harvest Technology and Training (NIFPHATT), Kochi",https://nifphatt.gov.in
,,"National Research Center on Camel (NRCC), Bikaner",https://nrccamel.icar.gov.in
,,"P.V. Narsimha Rao Telangana Veterinary University, RajendraNagar, Hyderabad, Telangana",https://tsvu.nic.in
,,"Paschim Banga Go-Sampad Bikash Sanstha (PBGSBS), West Bengal",https://pbgsbs.gov.in
,,"Rajasthan University of Veterinary and Animal Sciences, Bikaner, Rajasthan",https://www.rajuvas.org
,,"Regional Station for Forage Production and Demonstration, Pahadi Sharif",https://rsfpdhyd.nic.in
,,"Sericulture Department, Manipur",https://serimanipur.nic.in
,,"Sri Venkateswara Veterinary University, Tirupati, Andhra Pradesh",https://svvu.edu.in
,,"State Wetland Authority, Haryana",https://swa.haryana.gov.in
,,"System for Easy and Legal Issuance of Fuel Permit and Fuel, Kerala",https://self.kerala.gov.in
,,"U.P. Pandit Deen Dayal Upadhyaya pashu Chikitsa Vigyan Vishwavidyalaya Evam Go Anusandhan Sansthan (DUVASU), Uttar Pradesh",https://www.upvetuniv.edu.in
,,Veterinary Council of India (VCI),https://vci.dahd.gov.in
,,"Veterinary and Animal Husbandry Department, Telangana",https://vahd.telangana.gov.in
,,"West Bengal Cooperative Milk Producers Federation Ltd., West Bengal",https://www.benmilk.com
Art_Culture,https://igod.gov.in/sector/DxNsIHQBsvhI6u6Q3tju/organizations,,
,,"Allahabad Museum, Prayagraj",https://theallahabadmuseum.com
,,Anthropological Survey of India,https://ansi.gov.in
,,Archaeological Survey of India (ASI),https://asi.nic.in
,,"Archaeological Survey of India (ASI), Bhopal",https://asibhopal.nic.in
,,"Archaeological Survey of India (ASI), Agra Circle",https://www.asiagracircle.in
,,"Archaeological Survey of India (ASI), Chennai Circle",https://asichennai.gov.in
,,Archaeological Survey of India Jabalpur Circle,https://asijabalpur.gov.in
,,"Archaeological Survey of India, Jaipur Circle",https://asijaipurcircle.nic.in
,,"Archaeology Department, Kerala",https://www.archaeology.kerala.gov.in
,,"Archaeology Department, Tamil Nadu",https://www.tnarch.gov.in
,,"Archives Department, Kerala",https://www.keralaarchives.org
,,"Art and Culture Department, Tamil Nadu",https://artandculture.tn.gov.in
,,"Asiatic Society, Kolkata",https://www.asiaticsocietykolkata.org
,,Azadi Ka Amrit Mahotsav,https://amritmahotsav.nic.in
,,Bharat Rang Mahotsav,https://www.brm.nsd.gov.in
,,Central Institute of Classical Tamil (CICT),https://www.cict.in
,,"Central Institute of Higher Tibetan Studies, Sarnath",https://www.cihts.ac.in
,,Central Reference Library,https://www.crlindia.gov.in
,,Chalo India,https://www.chaloindia.gov.in
,,"Cultural Affairs Department, Assam",https://culturalaffairs.assam.gov.in
,,"Culture Department, Ladakh",https://ladakh.nic.in/culture-department
,,"Delhi Archives Department, Delhi",https://delhiarchives.delhi.gov.in
,,Delhi Public Library,https://dpl.gov.in
,,"Directorate of Archives, Archaeology and Museums, Jammu and Kashmir",https://jkarchives.nic.in
,,"Directorate of Culture, Kerala",https://culturedirectorate.kerala.gov.in
,,Dr. Ambedkar International Centre,https://daic.gov.in
,,Ek Bharat Shreshtha Bharat,https://ekbharat.gov.in
,,Gandhi Smriti and Darshan Samiti (GSDS),https://gandhismriti.gov.in
,,"Goa State Museum, Goa",https://goamuseum.gov.in
,,"Gopal Narayan Public Library, Bharatpura, Bihar",https://www.bharatpuralibrary.org
,,"Harekrushna Mahatab State Library, Odisha",https://hkmsl.gov.in
,,"Hindu Religious & Charitable Endowments Department, Tamil Nadu",https://hrce.tn.gov.in/hrcehome/index.php
,,"Hindu Religious Institutions And Charitable Endowments Department, Karnataka",https://itms.kar.nic.in/hrcehome/index.php
,,Indian Culture Portal,https://indianculture.gov.in
,,"Indian Museum, Kolkata",https://indianmuseumkolkata.org
,,Indira Gandhi Rashtriya Manav Sangrahalaya,https://igrms.gov.in
,,"Jawahar Kala Kendra, Rajasthan",https://jkk.artandculture.rajasthan.gov.in
,,"Kannada Development Authority, Karnataka",https://kannadapraadhikaara.karnataka.gov.in
,,"Kannada Sahitya Parishat, Karnataka",https://kannadasahithyaparishattu.in
,,"Kerala Kalamandalam, Kerala",https://www.kalamandalam.ac.in
,,Khuda Bakhsh Oriental Public Library,https://kblibrary.bih.nic.in
,,"Krishnadas Shama, Goa State Central Library, Panaji, Goa",https://centrallibrary.goa.gov.in
,,"Lalit Kala Akademi, New Delhi",https://lalitkala.gov.in
,,"Language Department, Delhi",https://language.delhi.gov.in
,,"Maharashtra Film, Stage & Cultural Development Corporation Limited, Dadasaheb Phalke Chitranagari, Filmcity, Mumbai, Maharashtra",https://www.filmcitymumbai.org
,,Mera Gaon Meri Dharohar,https://mgmd.gov.in
,,Meri Maati Mera Desh,https://merimaatimeradesh.gov.in
,,Must See Indian Heritage,https://asimustsee.nic.in
,,"NOC Online Application and Processing System, National Monuments Authority",https://nmanoc.gov.in
,,National Archives of India,https://nationalarchives.nic.in
,,National Council of Science Museums (NCSM),https://ncsm.gov.in
,,National Culture Fund (NCF),https://ncf.nic.in
,,National Handicrafts and Handlooms Museum-Crafts Museum,https://nationalcraftsmuseum.nic.in
,,National Library,https://nli.gov.in
,,National Mission for Manuscripts,https://www.namami.gov.in
,,National Monuments Authority (NMA),https://nma.gov.in
,,"National Museum, New Delhi",https://nationalmuseumindia.gov.in
,,National Museum Institute (NMI),https://nmi.gov.in
,,National School of Drama,https://nsd.gov.in
,,"National Science Centre, Delhi",https://nscd.gov.in
,,"Nava Nalanda Mahavihara, Nalanda",https://www.nnm.ac.in
,,"Nehru Memorial Museum and Library (NMML), New Delhi",https://indianculture.gov.in/MoCorganization/nehru-memorial-museum-and-library
,,"Nehru Science Centre, Mumbai",https://nehrusciencecentre.gov.in
,,North Central Zone Cultural Centre (NCZCC),https://indianculture.gov.in/MoCorganization/north-central-zone-cultural-centre
,,"North Eastern Handicrafts And Handlooms Development Corporation Ltd., (NEHHDC), Guwahati",https://nehhdc.com
,,North Zone Cultural Center,https://www.culturenorthindia.com
,,"Odia Virtual Academy (OVA), Bhubaneswar, Odisha",https://ova.gov.in
,,"Office of Resident Commissioner, West Bengal",https://rcwb.in
,,PM Mementos,https://pmmementos.gov.in
,,Pradhan Mantri Sangrahalaya,https://www.pmsangrahalaya.gov.in
