title,url,alt text,missing alt,clip caption,ocr,ocr_result,result
,https://magicalmelghat.in/public/images/gallery/1593166801Ashish Tomar new supplies (14).jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593166806FSO-1.JPG,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/1593166812Gaur GD muratar.JPG,,yes,read more place to go melghat tiger reserve has many places to explore .,no,,read more place to go melghat tiger reserve has many
,https://magicalmelghat.in/public/images/gallery/1593166831sawan deshmukh (1).JPG,,yes,read more place to go melghat tiger reserve has many places to explore .,no,,read more place to go melghat tiger reserve has many
,https://magicalmelghat.in/public/images/gallery/1593166838sawan deshmukh (19).JPG,,yes,read more photo experience see more booking for accommodation day safari please visit www .,no,,read more photo experience see more booking for accommodation day
,https://magicalmelghat.in/public/images/gallery/1593166850sawan deshmukh (23).jpg,,yes,the summers are good for animal sightings .,no,,the summers are good for animal sightings .
,https://magicalmelghat.in/public/images/gallery/1593166857sawan deshmukh (33).jpg,,yes,"the melghat , nestling in the satpuda hill ranges of forsyths and dunbars central indias vast tracts of inviolate natural forests , consisting of unique and representative ecosystems with rich biodiversity and varied habitats offered by deep valleys locally known as khoras and high hills locally known as ballas , daunted with rivers and nallahs having water all the year round",yes,Lv,"Lv the melghat , nestling in the satpuda hill ranges of"
,https://magicalmelghat.in/public/images/gallery/1593166864sawan deshmukh (43).jpg,,yes,mahaforest .,no,,mahaforest .
,https://magicalmelghat.in/public/images/gallery/1593166869sawan deshmukh (65).JPG,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593166877sawan deshmukh (198).JPG,,yes,"its diet consists of beetles , scorpions , tortoises , lizards , snakes , rodents as well as monogoose .",no,,"its diet consists of beetles , scorpions , tortoises ,"
,https://magicalmelghat.in/public/images/gallery/1593166884sawan deshmukh (209).JPG,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593166890sawan deshmukh (289).JPG,,yes,"the popular destination for the tourism point of view are chikhaldara , aamzari , semadoh , kolkas , harisal shahanur .",no,,the popular destination for the tourism point of view are
,https://magicalmelghat.in/public/images/gallery/1593166896sawan deshmukh (311).JPG,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/1593166901sawan deshmukh (341).JPG,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/1593166907sawan deshmukh (434).JPG,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/1593167157sawan deshmukh (490).JPG,,yes,"melghat this is an official website of melghat tiger reserve , forest department , goverment of maharashtra , india for enquiry 9 1 8 9 5 6 5 6 3 0 1 6 9 1 7 2 1 2 6 6 2 7 9 2 book now book now home current information of melghat geography history how to reach administration gallery about us resources plans publication research press note sop rts 2 0",no,,melghat this is an official website of melghat tiger reserve
,https://magicalmelghat.in/public/images/gallery/1593167163sulai waterfall.jpg,,yes,the name melghat means the confluence of various ghats or valleys as is typical from the landscape of this tiger reserve .,no,,the name melghat means the confluence of various ghats or
,https://magicalmelghat.in/public/images/gallery/1593167169Sunil wakode (13).JPG,,yes,"it was established as a wildlife sanctuary in 1 9 6 7 , and was declared a tiger reserve in 1 9 7 4 .",no,,it was established as a wildlife sanctuary in 1 9
,https://magicalmelghat.in/public/images/gallery/1593167176Vishal Bansod (54).jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/1593167181Vishal Bansod (65).jpg,,yes,"it was established as a wildlife sanctuary in 1 9 6 7 , and was declared a tiger reserve in 1 9 7 4 .",no,,it was established as a wildlife sanctuary in 1 9
,https://magicalmelghat.in/public/images/gallery/1593167188Vishal Bansod-tribal (1).jpg,,yes,0 0 0 0 0 0 7 3 foot candlles .,no,,0 0 0 0 0 0 7 3 foot candlles
,https://magicalmelghat.in/public/images/gallery/1593167193Vishal Bansod-tribal (6).jpg,,yes,"its diet consists of beetles , scorpions , tortoises , lizards , snakes , rodents as well as monogoose .",no,,"its diet consists of beetles , scorpions , tortoises ,"
,https://magicalmelghat.in/public/images/gallery/159316864581298720_2744693365596882_2602071963090288640_n.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/159316865998205525_3054193204646895_7806453340832792576_o.jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/1593168666100597174_3060748503991365_7870124968275607552_n.jpg,,yes,read more things to know rules regulation please follow the rules and regulation as per the wildlife protection act 1 9 7 2 to avoid impose punishment for violating the same .,no,,read more things to know rules regulation please follow the
,https://magicalmelghat.in/public/images/gallery/1593168674104072900_3116745058391709_3149238378524404441_n.jpg,,yes,read more photo experience see more booking for accommodation day safari please visit www .,no,,read more photo experience see more booking for accommodation day
,https://magicalmelghat.in/public/images/gallery/1593406985105567599_3155678421165039_8371016628353044482_n.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593406991105833586_3155678441165037_4595632984494291811_n.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593406997106006192_3155153177884230_3202240484376983859_n.jpg,,yes,they are very aggeressive manmmals and known to fight off lions and leopards on a few occasions .,no,,they are very aggeressive manmmals and known to fight off
,https://magicalmelghat.in/public/images/gallery/1593407003106099472_3155678304498384_7202370489757523257_n.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593407009106125171_3153491081383773_3309516510711048953_n.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593412389IMG-20200130-WA0274.jpg,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/1593412395praiz photo 5 2.JPG,,yes,please find the details in how to reach to these various destination in melghat tiger reserve read more events of melghat melghat keeps organizing various event for all .,no,,please find the details in how to reach to these
,https://magicalmelghat.in/public/images/gallery/159341250520200203_193422.jpg,,yes,tourists can explore melghat in all seasons but the monsoons starting mid july till end of september offers the best views .,no,,tourists can explore melghat in all seasons but the monsoons
,https://magicalmelghat.in/public/images/gallery/159341251220190930181207_IMG_0696.JPG,,yes,the frog does not stay in water for a long timeit spends most of its time and feeding in surrounding vegetation .,no,,the frog does not stay in water for a long
,https://magicalmelghat.in/public/images/gallery/1593418304Bird eye view of Narnala fort.jpg,,yes,please find the details in how to reach to these various destination in melghat tiger reserve read more events of melghat melghat keeps organizing various event for all .,no,,please find the details in how to reach to these
,https://magicalmelghat.in/public/images/gallery/1593418316Canon on Narnala fort.jpeg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593418325Khuni buruj of Narnala fort.jpeg,,yes,"the popular destination for the tourism point of view are chikhaldara , aamzari , semadoh , kolkas , harisal shahanur .",no,,the popular destination for the tourism point of view are
,"https://magicalmelghat.in/public/images/gallery/1593418333khuni buruj, Narnala Fort.jpg",,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1593418370Shardul baba Tekadi.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1594966073106903751_3978095095594634_1019283787081990215_n.jpg,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/1594966088106930331_3982402328497244_5887950030692114695_o.jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/1594966117108150939_3278968305492532_7107643211108636329_n.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/1594966158109152885_3996198670450943_4171110658163194646_n.jpg,,yes,"read more things to do melghat tiger reserve offers various activities like day safari , full day safari , night machaan stay , kayaking , elephant ride , trekking , adventure activities like zorbi ball , burma bridge , river crossing , parallel bridge and many more .",no,,read more things to do melghat tiger reserve offers various
,https://magicalmelghat.in/public/images/gallery/1594966172109931082_3278968508825845_953944479802803587_n.jpg,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/1602652491WhatsApp Image 2020-10-14 at 10.05.18 AM.jpeg,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/164940561834484096_2069447329960475_3946207705227591680_n.jpg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/1649405741A type cottages at semadoh.jpg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/164940578729357076_100508604127805_1989747924627619840_n.jpg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/1649405836IMG-20180115-WA0044.jpg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/1649406028dormitary at semadoh.jpg,,yes,home stay facility is also provided to experience the culture day to day life style of tribal .,no,,home stay facility is also provided to experience the culture
,https://magicalmelghat.in/public/images/gallery/1649406333WhatsApp Image 2018-04-25 at 7.49.22 PM.jpeg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/1649406358kolkas cottage.jpeg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/1649406530kolkas dormitory.jpeg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/1649406596KOLKAS 1.jpeg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://magicalmelghat.in/public/images/gallery/1649406618WhatsApp Image 2018-05-21 at 6.47.21 PM.jpeg,,yes,accommodation facilities in melghat are mostly run by forest department except the hotels and resorts at chikhaldara which are operated by private .,no,,accommodation facilities in melghat are mostly run by forest department
,https://www.magicalmelghat.in/public/website/image/close.png,,yes,private vehicles allowed suv only .,no,,private vehicles allowed suv only .
,https://www.magicalmelghat.in/public/website/image/close.png,,yes,private vehicles allowed suv only .,no,,private vehicles allowed suv only .
,https://www.magicalmelghat.in/public/website/image/satymevlogo.png,,yes,"offences related to trade and commerce in trophies , animals articles etc .",no,,"offences related to trade and commerce in trophies , animals"
,https://www.magicalmelghat.in/public/website/image/mh-logo.png,,yes,"offences related to trade and commerce in trophies , animals articles etc .",no,,"offences related to trade and commerce in trophies , animals"
